Name,EnrollmentCount,Category,FullAddress,Latitude,Longitude
Lake of the Woods H.S.,158,Tiny,"Lake of the Woods Elementary School, Baudette, MN 56623, USA",48.7089138,-94.6355862
Lake Park-Audubon,154,Tiny,"Lake Park, MN 56554, USA",46.8863481,-96.0945002
Lake Region Christian School,40,Tiny,"Lake Region Christian School, 7398 Fairview Rd, Baxter, MN 56425-8294, USA",46.35278,-94.24722
Lakeview Christian Academy,60,Tiny,"Lakeview Christian Academy, 155 W Central Entrance, Duluth, MN 55811-3497, USA",46.8005166,-92.137412
Lakeview High School,131,Tiny,"Lakeview High School, Cottonwood, MN 56229, USA",44.621586,-95.6666278
Lakeville North High School,1711,Large,"Lakeville North High School, 19600 Ipava Ave, Lakeville, MN 55044-7241, USA",44.6663203,-93.259083
Lakeville South High School,1774,Large,"Lakeville South High School, 21135 Jacquard Ave, Lakeville, MN 55044-6022, USA",44.6434177,-93.2713589
Lancaster High School,40,Tiny,"Lancaster, MN 56735, USA",48.8583146,-96.8042148
Lanesboro High School,85,Tiny,"Lanesboro Secondary School, 100 Kirkwood St E, Lanesboro, MN 55949, USA",43.7169085,-91.9762669
Laporte High School,61,Tiny,"Laporte, MN 56461, USA",47.2152778,-94.7541667
